q,a
什么是员工考勤管理制度？,该制度旨在严格工作纪律、提高工作效率，规范公司考勤管理，为公司考勤管理提供明确依据。
该制度适用于哪些员工？,适用于公司全体正式员工及实习生。
该制度的目的是什么？,为了规范公司考勤管理，提高工作效率，严格工作纪律，并为公司考勤管理提供明确依据。
该制度使用范围包括哪些员工？,1、公司全体正式员工及实习生；2、员工应严格遵守工作律及考勤规章制度；3、各部门负责人在权限范围内有审批部门员工考勤记录的权利和严肃考勤纪律的义务，并以身作则，规范执行；4、人力资源部负责考勤信息的记录、汇总，监督考勤制度的执行。
考勤时间是如何规定的？,1）公司执行五天弹性工作制，上班时间为 9:00-9:30，下班时间为 18:00-18:30，中午 12:00-13:00 为午休时间，不计入工作时间；每天工作时间不少于 8 小时；2）公司考虑交通通勤情况，每天上班给予 10 分钟延迟；9:40 后为迟到打卡，每月最多迟到 3 次（不晚于 10:00），超出则视为旷工；晚于 10:00 打卡且无正当理由，视为旷工半天；3）因工作原因下班晚走 2 小时，第二天打卡时间不晚于上午 10:00，考勤打卡数据将作为员工日常管理和薪资核算的重要依据。
员工因工作需要外出的需如何申请？,需在钉钉提交《外出申请》审批。
员工因工作需要出差的需如何申请？,需在互联 ERP 系统提交《出差申请》审批。
什么是旷工？,旷工指未请假或请假未批准而擅自不上班或离岗者，不服从调动和工作分配，未按时到岗报到者；请假期限已满未续假或续假未批准而逾期不归者；有证据证明请假原因不属实、伪造或骗取请假、休假证件者；未按离职规定程序履行离职申请、审批，经要求仍拒不履行离职规定程序而擅自离岗者；因打架、斗殴致伤而不能上班者，且对无故被打伤的员工，其养伤期间的工资和医疗费用，经公安部门或保安部门裁决，由肇事者负责；在事假期间进行非法活动或进行有损公司利益、名誉的行为者；未经部门直接领导批准而擅自不按时到岗或离岗超过 2 小时的（包括但不限于上班时离岗、做与工作无关的活儿、拒绝工作及公司相关制度规定的其他情形），将视为旷工，未在岗位达 2 小时以上，4 小时以内的，按照旷工 0.5 天计算，达 4 小时及以上的，按照旷工一天计算；未按照考勤时间和制度打卡及上下班考勤漏打卡逾期未补者。
旷工有哪些处罚措施？,1）扣除旷工相应天数工资的 100%，直接影响其所有考核成绩；2）连续旷工 2 天（含）或任意一年（非自然年）跨度期间内累计旷工达 3 天（含）以上，视为重大违纪行为，公司有权即时解除劳动关系，不给予任何经济补偿。
旷工最小计算单位为多少天？,旷工最小计算单位为 0.5 天。
审批权限、请假类别及处理办法一共有多少个主题内容？,10 个主题内容。
审批权限的具体内容是什么？,员工请假时间小于等于 2 天，由直接上级、部门负责人审批，人力资源部备案；员工请假时间大于等于 3 天，依次由直接上级、部门负责人、公司管理层审批，人力资源部备案。
请假类别包括哪些？,事假、病假、婚假、产假、陪产假、流产假、男女员工节育假期。
事假申请需要满足什么条件？,申请事假须至少提前 1 天在钉钉上发起请假申请，经直属领导逐级审批通过后，抄送人力资源部备案。事假最小计算单位为 0.5 天，不足 0.5 天以 0.5 天计算，以此类推。
